"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1","03/01/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"2","03/02/2018",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"3","03/03/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"4","03/04/2018",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"5","03/05/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"6","03/06/2018",28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"7","03/07/2018",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"8","03/08/2018",41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"9","03/09/2018",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"10","03/10/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"11","03/11/2018",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"12","03/13/2018",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"13","03/14/2018",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"14","03/15/2018",64,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"15","03/16/2018",54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"16","03/17/2018",50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"17","03/18/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"18","03/19/2018",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"19","03/20/2018",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"20","03/21/2018",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"21","03/22/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"22","03/23/2018",49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"23","03/24/2018",41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
