"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1","01/02/2018",12,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"2","01/05/2018",15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"3","01/08/2018",22,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"4","01/11/2018",3,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"5","01/14/2018",10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"6","01/17/2018",19,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"7","01/20/2018",8,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"8","01/23/2018",10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"9","01/26/2018",18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"10","01/29/2018",7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"11","02/01/2018",24,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"12","02/04/2018",5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"13","02/07/2018",9,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"14","02/10/2018",14,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"15","02/13/2018",11,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"16","02/16/2018",10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"17","02/19/2018",13,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"18","02/22/2018",33,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"19","02/25/2018",17,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"20","02/28/2018",15,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"21","03/06/2018",44,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"22","03/09/2018",18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"23","03/12/2018",10,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"24","03/15/2018",30,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"25","03/18/2018",23,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"26","03/21/2018",5,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"27","03/24/2018",21,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"28","03/27/2018",18,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"29","03/30/2018",7,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"30","04/02/2018",25,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
"31","04/05/2018",19,"Linville Falls","PM2.5","Avery",35.972347,-81.933072
