"","Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"64","01/03/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"65","01/04/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"66","01/05/2019",5,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"67","01/06/2019",18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"68","01/07/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"69","01/08/2019",26,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"70","01/09/2019",0,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"71","01/10/2019",14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"72","01/11/2019",27,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"73","01/12/2019",37,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"74","01/13/2019",23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"75","01/14/2019",5,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"76","01/15/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"77","01/16/2019",19,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"78","01/17/2019",35,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"79","01/18/2019",31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"80","01/19/2019",22,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"81","01/20/2019",3,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
"82","01/21/2019",10,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
